num,Economy,Code,Region,Income group,year,Internet value,Total population,GDP (US$),Life Expectancy (Years),GDP per capita income,Fertility (Births per woman)
57,El Salvador,SLV,Latin America & Caribbean,Lower middle income,2000,1.18,5867626,11784927700,68.834,4482.232561726,3.022
58,Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2000,0.13,614323,1045998496.43872,52.752,8552.5924215259,5.834
59,Eritrea,ERI,Sub-Saharan Africa,Low income,2000,0.14,3392801,706370815.584416,55.258,1330.623216838,5.328
60,Estonia,EST,Europe & Central Asia,High income,2000,28.58,1396985,5685774808.80862,70.4170731707,9421.2637747899,1.36
61,Eswatini,NA,NA,NA,2000,0.93,1061468,1738100853.05052,48.521,4627.2682759273,4.187
62,Ethiopia,ETH,Sub-Saharan Africa,Low income,2000,0.02,66537331,8242392103.68061,51.94,489.9198102058,6.529
63,Falkland (Malvinas) Is.,NA,NA,NA,2000,58.62,NA,NA,NA,NA,NA
64,Faroe Islands,FRO,Europe & Central Asia,High income,2000,32.92,47258,1062339943.83343,78.4341463415,NA,2.6
65,Fiji,FJI,East Asia & Pacific,Upper middle income,2000,1.5,811223,1684109743.49338,67.553,5288.6230482473,3.09
66,Finland,FIN,Europe & Central Asia,High income,2000,37.25,5176209,125539893126.958,77.4658536585,26752.8717461081,1.73
67,France,FRA,Europe & Central Asia,High income,2000,14.31,60912500,1362248940482.77,79.056097561,26094.2525634431,1.89
68,French Polynesia,PYF,East Asia & Pacific,High income,2000,6.36,237258,3447543137.9415,72.313,NA,2.463
69,Gabon,GAB,Sub-Saharan Africa,Upper middle income,2000,1.22,1231122,5067865320.7979,59.302,14091.5689390234,4.539
70,Gambia,NA,NA,NA,2000,0.92,NA,NA,NA,NA,NA
71,Georgia,GEO,Europe & Central Asia,Upper middle income,2000,0.48,4077131,3057453467.55136,71.907,2795.1055164668,1.608
72,Germany,DEU,Europe & Central Asia,High income,2000,30.22,82211508,1949953934033.54,77.9268292683,27298.1087177091,1.38
73,Ghana,GHA,Sub-Saharan Africa,Lower middle income,2000,0.15,18938762,4983024408.14828,56.994,1790.1718004866,4.826
74,Gibraltar,GIB,Europe & Central Asia,High income,2000,19.13,31180,NA,NA,NA,NA
75,Greece,GRC,Europe & Central Asia,High income,2000,9.14,10805808,130133845771.144,77.887804878,19518.9075076684,1.25
76,Greenland,GRL,Europe & Central Asia,High income,2000,31.75,56200,1068030829.75591,66.9634146341,NA,2.329
77,Grenada,GRD,Latin America & Caribbean,Upper middle income,2000,4.06,101619,520044370.37037,70.337,7648.3083911783,2.582
78,Guam,GUM,East Asia & Pacific,High income,2000,16.11,155329,NA,75.01,NA,2.824
79,Guatemala,GTM,Latin America & Caribbean,Lower middle income,2000,0.71,11650743,19288827158.9035,67.849,4810.6754984989,4.598
80,Guernsey,NA,NA,NA,2000,31.9,NA,NA,NA,NA,NA
81,Guinea,GIN,Sub-Saharan Africa,Low income,2000,0.1,8808546,2995360969.16199,51.181,1125.7665000688,6.082
82,Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2000,0.23,1243229,370173838.651652,52.27,1080.3658201319,5.82
83,Guyana,GUY,Latin America & Caribbean,Upper middle income,2000,6.61,753301,712667896.727512,64.93,3626.5319558297,3.017
84,Haiti,HTI,Latin America & Caribbean,Low income,2000,0.23,8549200,3953846310.66081,57.716,1378.3640576054,4.302
85,Honduras,HND,Latin America & Caribbean,Lower middle income,2000,1.2,6524283,7103507989.05044,70.537,2637.6446424476,4.055
86,"Hong Kong, China",NA,NA,NA,2000,27.83,NA,NA,NA,NA,NA
87,Hungary,HUN,Europe & Central Asia,High income,2000,7,10210971,47310623887.2319,71.2463414634,11877.9724478598,1.32
88,Iceland,ISL,Europe & Central Asia,High income,2000,44.47,281205,8927140438.33316,79.6536585366,29458.117125049,2.08
89,India,IND,South Asia,Lower middle income,2000,0.53,1053050912,468394948472.075,62.582,2154.9099177065,3.311
90,Indonesia,IDN,East Asia & Pacific,Lower middle income,2000,0.93,211540429,165021012077.81,66.285,4600.7545483954,2.512
91,Iran (Islamic Republic of),NA,NA,NA,2000,0.93,NA,NA,NA,NA,NA
92,Ireland,IRL,Europe & Central Asia,High income,2000,17.85,3805174,99853528653.0311,76.5365853659,30178.0002352539,1.89
93,Israel,ISR,Middle East & North Africa,High income,2000,20.87,6289000,132339311284.428,78.9536585366,24930.3359314965,2.95
94,Italy,ITA,Europe & Central Asia,High income,2000,23.11,56942108,1141759996314.72,79.7780487805,27027.1906389912,1.26
95,Jamaica,JAM,Latin America & Caribbean,Upper middle income,2000,3.12,2656864,8985352831.94058,72.327,6287.0052820302,2.577
96,Japan,JPN,East Asia & Pacific,High income,2000,29.99,126843000,4887519660744.86,81.076097561,26838.6913604846,1.359
97,Jersey,NA,NA,NA,2000,9.22,NA,NA,NA,NA,NA
98,Jordan,JOR,Middle East & North Africa,Upper middle income,2000,2.62,5103130,8460424400.56418,71.73,5733.2748405211,4.033
99,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2000,0.67,14883626,18291990619.137,65.5170731707,7886.0164391578,1.8
100,Kenya,KEN,Sub-Saharan Africa,Lower middle income,2000,0.32,31450483,12705357103.0056,51.751,1689.5494251545,5.178
101,Kiribati,KIR,East Asia & Pacific,Lower middle income,2000,1.79,84406,67254174.3970315,64.001,1576.3176397721,4.058
102,Korea (Rep. of),NA,NA,NA,2000,44.7,NA,NA,NA,NA,NA
103,Kuwait,KWT,Middle East & North Africa,High income,2000,6.73,2050741,37711864406.7797,73.16,55407.537957463,2.845
104,Kyrgyzstan,NA,NA,NA,2000,1.04,NA,NA,NA,NA,NA
105,Lao P.D.R.,NA,NA,NA,2000,0.11,NA,NA,NA,NA,NA
106,Latvia,LVA,Europe & Central Asia,High income,2000,6.32,2367550,7937758980.30127,70.3146341463,8019.2856934173,1.25
107,Lebanon,LBN,Middle East & North Africa,Upper middle income,2000,7.95,3235366,17260364842.4544,74.447,9992.9395142502,2.225
108,Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2000,0.21,1868699,887295267.875155,48.405,1411.4450388514,4.089
109,Liberia,LBR,Sub-Saharan Africa,Low income,2000,0.02,2884522,874000000,52.423,1031.2762182452,5.88
110,Libya,LBY,Middle East & North Africa,Upper middle income,2000,0.19,5355751,38270206950.41,70.473,17371.5127826469,2.856
111,Liechtenstein,LIE,Europe & Central Asia,High income,2000,36.52,33286,2483953102.79488,76.8268292683,NA,1.57
112,Lithuania,LTU,Europe & Central Asia,High income,2000,6.43,3499536,11539211480.3625,72.0195121951,8457.6221639106,1.39
113,Luxembourg,LUX,Europe & Central Asia,High income,2000,22.89,436300,21263514833.2412,77.8731707317,55348.8987435858,1.76
114,"Macao, China",NA,NA,NA,2000,13.61,NA,NA,NA,NA,NA
115,Madagascar,MDG,Sub-Saharan Africa,Low income,2000,0.2,15766806,3877673539.09084,58.485,1144.3065559572,5.551
116,Malawi,MWI,Sub-Saharan Africa,Low income,2000,0.13,11376172,1743506531.32652,46.45,686.2192847082,6.149
117,Malaysia,MYS,East Asia & Pacific,Upper middle income,2000,21.38,23185608,93789736842.1053,72.8,12924.7684913144,2.784
118,Maldives,MDV,South Asia,Upper middle income,2000,2.2,280384,624337145.284622,69.936,7740.7353193893,2.944
119,Mali,MLI,Sub-Saharan Africa,Low income,2000,0.14,10967690,2954129565.82965,48.069,1159.2760133392,6.897
120,Malta,MLT,Middle East & North Africa,High income,2000,13.11,390087,4306192435.82207,78.3487804878,19425.7385309215,1.68
121,Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2000,1.53,52159,110937700,65.2390243902,2293.1916592681,NA
122,Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2000,0.19,2709359,1293654175.2102,60.049,2180.1254650209,5.453
123,Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2000,7.28,1186873,4582555124.64952,71.6634146341,8777.9807834413,1.99
124,Mayotte,NA,NA,NA,2000,1.21,NA,NA,NA,NA,NA
125,Mexico,MEX,Latin America & Caribbean,Upper middle income,2000,5.08,101719673,707906744574.644,74.364,10782.3865030592,2.716
126,Micronesia,NA,NA,NA,2000,3.73,NA,NA,NA,NA,NA
127,Moldova,MDA,Europe & Central Asia,Lower middle income,2000,1.28,3639592,1288429391.79951,67.006,1839.2750652244,1.435
128,Monaco,MCO,Europe & Central Asia,High income,2000,42.18,32082,2647883815.57966,NA,NA,NA
129,Mongolia,MNG,East Asia & Pacific,Lower middle income,2000,1.26,2397436,1136896123.61298,62.869,3688.8257089098,2.143
130,Morocco,MAR,Middle East & North Africa,Lower middle income,2000,0.69,28849621,38857251336.3448,68.722,3553.148745119,2.777
131,Mozambique,MOZ,Sub-Saharan Africa,Low income,2000,0.11,18067687,5016469068.50898,48.348,445.0443617644,5.818
132,Namibia,NAM,Sub-Saharan Africa,Upper middle income,2000,1.64,1899257,3833993706.73581,55.608,4895.80408378,4.018
133,Nepal (Republic of),NA,NA,NA,2000,0.2,NA,NA,NA,NA,NA
134,Netherlands,NLD,Europe & Central Asia,High income,2000,43.98,15925513,412807259996.315,77.987804878,31596.9666990942,1.72
135,New Caledonia,NCL,East Asia & Pacific,High income,2000,13.94,213230,2682347064.3642,75.1634146341,NA,2.59
136,New Zealand,NZL,East Asia & Pacific,High income,2000,47.38,3857700,52622842840.2055,78.6365853659,21521.526982603,1.98
137,Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2000,0.98,5026796,5107329007.0922,69.742,2729.6071505301,3.083
138,Niger,NER,Sub-Saharan Africa,Low income,2000,0.04,11352973,1798374468.36362,49.874,597.0490097649,7.679
139,Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2000,0.06,122352009,69448756932.6008,46.266,2430.9889630932,6.106
140,Niue,NA,NA,NA,2000,26.51,NA,NA,NA,NA,NA
141,Norway,NOR,Europe & Central Asia,High income,2000,52,4490967,171315639982.731,78.6341463415,36956.3797003362,1.85
142,Oman,OMN,Middle East & North Africa,High income,2000,3.52,2267991,19507412223.6671,72.126,34840.3890527308,3.716
143,Palestine,NA,NA,NA,2000,1.11,NA,NA,NA,NA,NA
144,Panama,PAN,Latin America & Caribbean,Upper middle income,2000,6.55,3030347,12304115000,75.084,8419.5064771515,2.744
145,Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2000,0.84,5572222,3521339699.07407,61.832,2175.1678536736,4.525
146,Paraguay,PRY,Latin America & Caribbean,Upper middle income,2000,0.75,5302700,8855705139.55857,70.07,6351.2786128229,3.553
147,Peru,PER,Latin America & Caribbean,Upper middle income,2000,3.08,25914879,51744749133.213,70.512,5200.9954737899,2.929
148,Philippines,PHL,East Asia & Pacific,Lower middle income,2000,1.98,77991569,81026300310.0109,67.17,3347.3559186994,3.811
149,Poland,POL,Europe & Central Asia,High income,2000,7.29,38258629,171885598582.637,73.7487804878,10652.9082890119,1.37
150,Portugal,PRT,Europe & Central Asia,High income,2000,16.43,10289898,118358489957.619,76.3146341463,18886.9110659257,1.55
151,Puerto Rico,PRI,Latin America & Caribbean,High income,2000,10.47,3810605,61701800000,76.6892682927,24569.7388195778,2.0485
152,Qatar,QAT,Middle East & North Africa,High income,2000,4.86,592267,17759890109.8901,76.279,85840.185038079,3.236
153,Romania,ROU,Europe & Central Asia,Upper middle income,2000,3.61,22442971,37438527799.5302,71.1634146341,5877.9920860001,1.31
154,Russian Federation,RUS,Europe & Central Asia,Upper middle income,2000,1.98,146596557,259710142196.943,65.4836585366,6825.4060375949,1.195
155,Rwanda,RWA,Sub-Saharan Africa,Low income,2000,0.06,8025703,1734938652.21165,48.415,629.3229975949,5.64
156,Saint Kitts and Nevis,NA,NA,NA,2000,5.86,NA,NA,NA,NA,NA
157,Saint Lucia,NA,NA,NA,2000,5.09,NA,NA,NA,NA,NA
158,Saint Vincent and the Grenadines,NA,NA,NA,2000,3.25,NA,NA,NA,NA,NA
159,Samoa,WSM,East Asia & Pacific,Lower middle income,2000,0.57,174610,269019710.327456,69.305,3427.9608516692,4.503
160,San Marino,SMR,Europe & Central Asia,High income,2000,48.8,27418,1101897917.81832,NA,59970.6662056453,NA
161,Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2000,4.64,138606,NA,63.338,NA,5.278
162,Saudi Arabia,SAU,Middle East & North Africa,High income,2000,2.21,20764312,189514926213.333,72.44,34131.5359740304,3.971
163,Senegal,SEN,Sub-Saharan Africa,Low income,2000,0.4,9884052,5924239700.81588,57.796,1899.2489708567,5.471
164,Seychelles,SYC,Sub-Saharan Africa,High income,2000,7.4,81131,614879764.780006,72.7780487805,14622.9807083294,2.08
165,Sierra Leone,SLE,Sub-Saharan Africa,Low income,2000,0.12,4564297,635874002.198748,38.702,723.2936333108,6.319
166,Singapore,SGP,East Asia & Pacific,High income,2000,36,4027887,95833932714.6172,77.9512195122,40974.2427322628,1.6
167,Slovakia,NA,NA,NA,2000,9.43,NA,NA,NA,NA,NA
168,Slovenia,SVN,Europe & Central Asia,High income,2000,15.11,1988925,20342201356.0052,75.412195122,18050.3756033208,1.26
169,Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2000,0.48,412609,435103853.485036,63.103,1439.6531672471,4.72
170,Somalia,SOM,Sub-Saharan Africa,Low income,2000,0.02,9011479,NA,50.867,NA,7.623
171,South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2000,5.35,45728315,136361854808.496,56.341,7559.2940016491,2.829
172,Spain,ESP,Europe & Central Asia,High income,2000,13.62,40567864,595402616546.895,78.9658536585,21533.9089930091,1.22
173,Sri Lanka,LKA,South Asia,Lower middle income,2000,0.65,18781938,16330814179.9766,71.002,4391.6305319731,2.241
174,St. Helena,NA,NA,NA,2000,5.92,NA,NA,NA,NA,NA
175,Sudan,SDN,Sub-Saharan Africa,Lower middle income,2000,0.03,27250535,12257418326.0734,58.43,1812.039615094,5.471
176,Suriname,SUR,Latin America & Caribbean,Upper middle income,2000,2.51,472390,947671969.69697,67.838,7743.2101537355,2.861
177,Sweden,SWE,Europe & Central Asia,High income,2000,45.69,8872109,259802012617.057,79.643902439,29280.5027395447,1.54
178,Switzerland,CHE,Europe & Central Asia,High income,2000,47.1,7184250,272055499940.786,79.6804878049,35754.5731603853,1.5
179,Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,2000,0.18,16410848,19325894913.1254,73.11,NA,4.043
180,"Taiwan, Province of China",NA,NA,NA,2000,28.1,NA,NA,NA,NA,NA
181,Tajikistan,TJK,Europe & Central Asia,Lower middle income,2000,0.05,6216205,860521119.298753,65.485,939.2357381081,3.907
182,Tanzania,TZA,Sub-Saharan Africa,Low income,2000,0.12,34178042,13375976353.733,51.493,1215.2645392602,5.689
183,Thailand,THA,East Asia & Pacific,Upper middle income,2000,3.69,62958021,126392308497.749,70.624,7281.7785292071,1.671
184,The Former Yugoslav Rep. of Macedonia,NA,NA,NA,2000,2.49,NA,NA,NA,NA,NA
185,Togo,TGO,Sub-Saharan Africa,Low income,2000,0.8,4970367,1488185772.47585,53.489,969.9777450607,5.41
186,Tonga,TON,East Asia & Pacific,Lower middle income,2000,2.43,98082,202363492.160332,70.811,3646.6010137774,4.25
187,Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2000,7.72,1267984,8154338232.95978,68.532,14520.6358928487,1.753
188,Tunisia,TUN,Middle East & North Africa,Lower middle income,2000,2.75,9699197,21473188881.5933,73.155,6001.8838091335,2.142
189,Turkey,TUR,Europe & Central Asia,Upper middle income,2000,3.76,63240121,272979846449.136,70.008,9583.8077264962,2.503
190,Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2000,0.13,4516131,2904662604.82053,63.613,4226.1527765544,2.824
191,Tuvalu,TUV,East Asia & Pacific,Upper middle income,2000,5.24,9420,13742057.0500928,NA,2411.7230886054,NA
192,Uganda,UGA,Sub-Saharan Africa,Low income,2000,0.16,24039274,6193246837.09687,47.077,831.8864824986,6.865
193,Ukraine,UKR,Europe & Central Asia,Lower middle income,2000,0.72,49175848,31261527363.144,67.6756097561,3801.6356111276,1.11
194,United Arab Emirates,ARE,Middle East & North Africa,High income,2000,23.63,3154925,104337372362.151,74.239,81332.0104961038,2.644
195,United Kingdom,GBR,Europe & Central Asia,High income,2000,26.82,58892514,1647951278559.54,77.7414634146,26250.0658952827,1.64
196,United States,USA,North America,High income,2000,43.08,282162411,10284779000000,76.6365853659,36449.8551155349,2.056
197,Uruguay,URY,Latin America & Caribbean,High income,2000,10.54,3321245,22823255801.8447,74.805,10202.4774724774,2.242
198,Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2000,0.48,24650400,13760513969.314,67.154,1983.9980105821,2.58
199,Vanuatu,VUT,East Asia & Pacific,Lower middle income,2000,2.11,185063,272014693.050806,67.438,2236.9921987001,4.368
200,Venezuela,NA,NA,NA,2000,3.36,NA,NA,NA,NA,NA
201,Viet Nam,NA,NA,NA,2000,0.25,NA,NA,NA,NA,NA
202,Virgin Islands (US),NA,NA,NA,2000,13.82,NA,NA,NA,NA,NA
203,Wallis and Futuna,NA,NA,NA,2000,4.77,NA,NA,NA,NA,NA
204,Yemen,NA,NA,NA,2000,0.08,NA,NA,NA,NA,NA
205,Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2000,0.19,10531221,3600683039.73254,44.702,1666.487800612,6.036
206,Zimbabwe,ZWE,Sub-Saharan Africa,Low income,2000,0.4,12222251,6689957600,44.841,2269.4327501303,4.055
207,Afghanistan,AFG,South Asia,Low income,2001,0,20966463,NA,56.044,NA,7.392
208,Albania,ALB,Europe & Central Asia,Upper middle income,2001,0.33,3060173,3922100793.5403,74.286,4301.326332623,2.068
209,Algeria,DZA,Middle East & North Africa,Upper middle income,2001,0.65,31592153,54744714396.1666,70.778,8414.7503208791,2.438
210,Angola,AGO,Sub-Saharan Africa,Upper middle income,2001,0.14,16983266,8936063723.20121,48.2,3173.6282040242,6.602
211,Anguilla,NA,NA,NA,2001,25.88,NA,NA,NA,NA,NA
212,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2001,8.9,85057,800740257.407407,73.752,14313.8324606117,2.305
213,Argentina,ARG,Latin America & Caribbean,Upper middle income,2001,9.78,37471509,268696750000,74.039,11416.3422506036,2.537
214,Armenia,ARM,Europe & Central Asia,Lower middle income,2001,1.63,3050655,2118467913.37873,71.8,2613.1627429346,1.635
215,Aruba,ABW,Latin America & Caribbean,High income,2001,17.1,92898,1920111731.84358,73.853,32011.1035266642,1.846
216,Ascension,NA,NA,NA,2001,38.17,NA,NA,NA,NA,NA
217,Australia,AUS,East Asia & Pacific,High income,2001,52.69,19413000,378215090694.43,79.6341463415,27325.0511480398,1.739
218,Austria,AUT,Europe & Central Asia,High income,2001,39.19,8042293,197337879194.631,78.5756097561,29715.2222181289,1.33
219,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2001,0.31,8111200,5707720390.8515,67.054,3941.1470527594,1.8
220,Bahamas,NA,NA,NA,2001,11.8,NA,NA,NA,NA,NA
221,Bahrain,BHR,Middle East & North Africa,High income,2001,15.04,697549,8976207712.76596,74.635,35570.4200107918,2.731
222,Bangladesh,BGD,South Asia,Lower middle income,2001,0.13,134107160,53991289844.3291,65.903,1372.0360262349,3.071
223,Barbados,BRB,Latin America & Caribbean,High income,2001,11.94,270685,3116650000,73.535,12215.4665258541,1.746
224,Belarus,BLR,Europe & Central Asia,Upper middle income,2001,4.3,9928549,12354820143.8849,68.5073170732,6462.1992051953,1.286
225,Belgium,BEL,Europe & Central Asia,High income,2001,31.29,10286570,237841968680.09,77.9731707317,28958.4931661401,1.67
226,Benin,BEN,Sub-Saharan Africa,Low income,2001,0.36,7076733,2680213931.46472,55.668,1380.291776666,5.889
227,Bermuda,BMU,North America,High income,2001,47.51,62504,3680483000,77.8853658537,43965.6305109507,1.75
228,Bhutan,BTN,South Asia,Lower middle income,2001,0.86,589600,476360697.181606,61.625,3018.2827036345,3.416
229,Bolivia (Plurinational State of),NA,NA,NA,2001,2.12,NA,NA,NA,NA,NA
230,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2001,1.2,3771284,5748990666.17862,74.653,4731.2189504959,1.432
231,Botswana,BWA,Sub-Saharan Africa,Upper middle income,2001,3.43,1754935,5489608299.66445,48.838,8155.0102012189,3.286
232,Brazil,BRA,Latin America & Caribbean,Upper middle income,2001,4.53,177750670,559372276095.115,70.486,9214.5670058398,2.232
233,Brunei Darussalam,BRN,East Asia & Pacific,High income,2001,12.92,340117,5601090584.36122,75.425,66944.5907831773,2.119
234,Bulgaria,BGR,Europe & Central Asia,Upper middle income,2001,7.61,8009142,14075616789.4905,71.7682926829,6908.9179915017,1.21
235,Burkina Faso,BFA,Sub-Saharan Africa,Low income,2001,0.16,11944587,2812845513.57125,50.893,903.0596263306,6.531
236,Burundi,BDI,Sub-Saharan Africa,Low income,2001,0.11,6555829,876794723.068586,51.779,577.8491035059,6.948
237,Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2001,2.69,443716,563024383.296626,70.358,3115.9695449706,3.62
238,Cambodia,KHM,East Asia & Pacific,Lower middle income,2001,0.08,12402473,3984000517.02345,59.335,1181.7706644158,3.654
239,Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2001,0.28,15671927,10371327756.4548,50.495,2146.6440153914,5.524
